image,scenario,cve,package,version,base,cvss_source,x_exp,x_priv,x_mnt,x_run,S,C,R,severity,rank_R,rank_B
rabbitmq:3.13-management-alpine,A,CVE-2025-15467,libcrypto3,3.5.4-r0,9.8,redhat,0.0,0.0,0.0,0.5,0.125,0.625,6.125,Medium,1,1
rabbitmq:3.13-management-alpine,A,CVE-2026-31789,libcrypto3,3.5.4-r0,9.8,nvd,0.0,0.0,0.0,0.5,0.125,0.625,6.125,Medium,2,2
rabbitmq:3.13-management-alpine,A,CVE-2025-15467,libssl3,3.5.4-r0,9.8,redhat,0.0,0.0,0.0,0.5,0.125,0.625,6.125,Medium,3,3
rabbitmq:3.13-management-alpine,A,CVE-2026-31789,libssl3,3.5.4-r0,9.8,nvd,0.0,0.0,0.0,0.5,0.125,0.625,6.125,Medium,4,4
rabbitmq:3.13-management-alpine,A,CVE-2026-28387,libcrypto3,3.5.4-r0,8.1,nvd,0.0,0.0,0.0,0.5,0.125,0.625,5.0625,Medium,5,5
rabbitmq:3.13-management-alpine,A,CVE-2026-28387,libssl3,3.5.4-r0,8.1,nvd,0.0,0.0,0.0,0.5,0.125,0.625,5.0625,Medium,6,6
rabbitmq:3.13-management-alpine,A,CVE-2026-25210,libexpat,2.7.3-r0,7.8,nvd,0.0,0.0,0.0,0.5,0.125,0.625,4.875,Medium,7,7
rabbitmq:3.13-management-alpine,A,CVE-2026-40200,musl,1.2.5-r10,7.8,redhat,0.0,0.0,0.0,0.5,0.125,0.625,4.875,Medium,8,8
rabbitmq:3.13-management-alpine,A,CVE-2026-40200,musl-utils,1.2.5-r10,7.8,redhat,0.0,0.0,0.0,0.5,0.125,0.625,4.875,Medium,9,9
rabbitmq:3.13-management-alpine,A,CVE-2026-22184,zlib,1.3.1-r2,7.8,nvd,0.0,0.0,0.0,0.5,0.125,0.625,4.875,Medium,10,10
rabbitmq:3.13-management-alpine,A,CVE-2025-69421,libcrypto3,3.5.4-r0,7.5,nvd,0.0,0.0,0.0,0.5,0.125,0.625,4.6875,Medium,11,11
