image,scenario,x_run_state,x_run,n_cves,R_mean,R_stdev,R_max,R_min,n_critical,n_high,n_medium,n_low_or_none
rabbitmq:3.13-management-alpine,A,never,0.0,20,4.035,0.455,4.9,3.7,0,0,6,14
rabbitmq:3.13-management-alpine,A,inconclusive,0.5,20,5.044,0.569,6.125,4.625,0,0,20,0
rabbitmq:3.13-management-alpine,A,observed,1.0,20,6.053,0.683,7.35,5.55,0,4,16,0
rabbitmq:3.13-management-alpine,B,never,0.0,20,9.625,0.298,10.0,9.25,20,0,0,0
rabbitmq:3.13-management-alpine,B,inconclusive,0.5,20,10.0,0.0,10.0,10.0,20,0,0,0
rabbitmq:3.13-management-alpine,B,observed,1.0,20,10.0,0.0,10.0,10.0,20,0,0,0
rabbitmq:3.13-management-alpine,C,never,0.0,20,7.667,0.865,9.31,7.03,4,16,0,0
rabbitmq:3.13-management-alpine,C,inconclusive,0.5,20,8.568,0.767,10.0,7.955,4,16,0,0
rabbitmq:3.13-management-alpine,C,observed,1.0,20,9.332,0.422,10.0,8.88,18,2,0,0
rabbitmq:3.13-management-alpine,D,never,0.0,20,5.952,0.672,7.228,5.458,0,4,16,0
rabbitmq:3.13-management-alpine,D,inconclusive,0.5,20,6.96,0.786,8.453,6.383,0,4,16,0
rabbitmq:3.13-management-alpine,D,observed,1.0,20,7.969,0.899,9.678,7.308,4,16,0,0
rabbitmq:3.13-management-alpine,E,never,0.0,20,7.263,0.82,8.82,6.66,0,10,10,0
rabbitmq:3.13-management-alpine,E,inconclusive,0.5,20,8.263,0.916,10.0,7.585,4,16,0,0
rabbitmq:3.13-management-alpine,E,observed,1.0,20,9.027,0.552,10.0,8.51,6,14,0,0
rabbitmq:3.13-management-alpine,F,never,0.0,20,8.07,0.911,9.8,7.4,4,16,0,0
rabbitmq:3.13-management-alpine,F,inconclusive,0.5,20,8.874,0.622,10.0,8.325,6,14,0,0
rabbitmq:3.13-management-alpine,F,observed,1.0,20,9.625,0.298,10.0,9.25,20,0,0,0
rabbitmq:3.13-management-alpine,G,never,0.0,20,5.548,0.626,6.738,5.088,0,0,20,0
rabbitmq:3.13-management-alpine,G,inconclusive,0.5,20,6.557,0.74,7.963,6.013,0,4,16,0
rabbitmq:3.13-management-alpine,G,observed,1.0,20,7.566,0.854,9.188,6.938,4,14,2,0
rabbitmq:3.13-management-alpine,H,never,0.0,20,6.557,0.74,7.963,6.013,0,4,16,0
rabbitmq:3.13-management-alpine,H,inconclusive,0.5,20,7.566,0.854,9.188,6.938,4,14,2,0
rabbitmq:3.13-management-alpine,H,observed,1.0,20,8.492,0.804,10.0,7.863,4,16,0,0
postgres:17,A,never,0.0,91,3.992,0.4,5.0,3.5,0,0,32,59
postgres:17,A,inconclusive,0.5,91,4.99,0.5,6.25,4.375,0,0,91,0
postgres:17,A,observed,1.0,91,5.988,0.6,7.5,5.25,0,8,83,0
postgres:17,B,never,0.0,91,9.578,0.395,10.0,8.75,83,8,0,0
postgres:17,B,inconclusive,0.5,91,9.965,0.107,10.0,9.625,91,0,0,0
postgres:17,B,observed,1.0,91,10.0,0.0,10.0,10.0,91,0,0,0
postgres:17,C,never,0.0,91,7.584,0.76,9.5,6.65,8,73,10,0
postgres:17,C,inconclusive,0.5,91,8.533,0.752,10.0,7.525,25,66,0,0
postgres:17,C,observed,1.0,91,9.314,0.522,10.0,8.4,76,15,0,0
postgres:17,D,never,0.0,91,5.888,0.59,7.375,5.163,0,8,83,0
postgres:17,D,inconclusive,0.5,91,6.886,0.69,8.625,6.038,0,25,66,0
postgres:17,D,observed,1.0,91,7.884,0.789,9.875,6.912,8,75,8,0
postgres:17,E,never,0.0,91,7.185,0.72,9.0,6.3,1,44,46,0
postgres:17,E,inconclusive,0.5,91,8.177,0.805,10.0,7.175,25,66,0,0
postgres:17,E,observed,1.0,91,9.041,0.661,10.0,8.05,32,59,0,0
postgres:17,F,never,0.0,91,7.984,0.799,10.0,7.0,9,82,0,0
postgres:17,F,inconclusive,0.5,91,8.886,0.71,10.0,7.875,32,59,0,0
postgres:17,F,observed,1.0,91,9.578,0.395,10.0,8.75,83,8,0,0
postgres:17,G,never,0.0,91,5.489,0.55,6.875,4.812,0,0,91,0
postgres:17,G,inconclusive,0.5,91,6.487,0.65,8.125,5.688,0,25,66,0
postgres:17,G,observed,1.0,91,7.485,0.75,9.375,6.562,8,68,15,0
postgres:17,H,never,0.0,91,6.487,0.65,8.125,5.688,0,25,66,0
postgres:17,H,inconclusive,0.5,91,7.485,0.75,9.375,6.562,8,68,15,0
postgres:17,H,observed,1.0,91,8.444,0.764,10.0,7.438,25,66,0,0
redis:7-alpine,A,never,0.0,68,3.899,0.38,5.0,3.5,0,0,10,58
redis:7-alpine,A,inconclusive,0.5,68,4.873,0.476,6.25,4.375,0,0,68,0
redis:7-alpine,A,observed,1.0,68,5.848,0.571,7.5,5.25,0,8,60,0
redis:7-alpine,B,never,0.0,68,9.474,0.259,10.0,8.75,67,1,0,0
redis:7-alpine,B,inconclusive,0.5,68,9.994,0.045,10.0,9.625,68,0,0,0
redis:7-alpine,B,observed,1.0,68,10.0,0.0,10.0,10.0,68,0,0,0
redis:7-alpine,C,never,0.0,68,7.407,0.723,9.5,6.65,8,57,3,0
redis:7-alpine,C,inconclusive,0.5,68,8.316,0.64,10.0,7.525,8,60,0,0
redis:7-alpine,C,observed,1.0,68,9.146,0.361,10.0,8.4,63,5,0,0
redis:7-alpine,D,never,0.0,68,5.75,0.561,7.375,5.163,0,8,60,0
redis:7-alpine,D,inconclusive,0.5,68,6.725,0.656,8.625,6.038,0,8,60,0
redis:7-alpine,D,observed,1.0,68,7.7,0.751,9.875,6.912,8,59,1,0
redis:7-alpine,E,never,0.0,68,7.017,0.685,9.0,6.3,1,14,53,0
redis:7-alpine,E,inconclusive,0.5,68,7.984,0.757,10.0,7.175,8,60,0,0
redis:7-alpine,E,observed,1.0,68,8.814,0.469,10.0,8.05,10,58,0,0
redis:7-alpine,F,never,0.0,68,7.797,0.761,10.0,7.0,8,60,0,0
redis:7-alpine,F,inconclusive,0.5,68,8.648,0.525,10.0,7.875,10,58,0,0
redis:7-alpine,F,observed,1.0,68,9.474,0.259,10.0,8.75,67,1,0,0
redis:7-alpine,G,never,0.0,68,5.36,0.523,6.875,4.812,0,0,68,0
redis:7-alpine,G,inconclusive,0.5,68,6.335,0.618,8.125,5.688,0,8,60,0
redis:7-alpine,G,observed,1.0,68,7.31,0.713,9.375,6.562,8,55,5,0
redis:7-alpine,H,never,0.0,68,6.335,0.618,8.125,5.688,0,8,60,0
redis:7-alpine,H,inconclusive,0.5,68,7.31,0.713,9.375,6.562,8,55,5,0
redis:7-alpine,H,observed,1.0,68,8.233,0.669,10.0,7.438,8,60,0,0
