image,scenario,n_cves,spearman_rho_R_vs_B,kendall_tau_R_vs_B,top5_jaccard,top10_jaccard
rabbitmq:3.13-management-alpine,A,20,1.0,1.0,1.0,1.0
rabbitmq:3.13-management-alpine,B,20,,,1.0,1.0
rabbitmq:3.13-management-alpine,C,20,1.0,1.0,1.0,1.0
rabbitmq:3.13-management-alpine,D,20,1.0,1.0,1.0,1.0
rabbitmq:3.13-management-alpine,E,20,1.0,1.0,1.0,1.0
rabbitmq:3.13-management-alpine,F,20,1.0,1.0,1.0,1.0
rabbitmq:3.13-management-alpine,G,20,1.0,1.0,1.0,1.0
rabbitmq:3.13-management-alpine,H,20,1.0,1.0,1.0,1.0
postgres:17,A,91,1.0,1.0,1.0,1.0
postgres:17,B,91,0.5563,0.4965,1.0,1.0
postgres:17,C,91,0.9999,0.999,1.0,1.0
postgres:17,D,91,1.0,1.0,1.0,1.0
postgres:17,E,91,0.9999,0.999,1.0,1.0
postgres:17,F,91,0.9997,0.9978,1.0,1.0
postgres:17,G,91,1.0,1.0,1.0,1.0
postgres:17,H,91,1.0,1.0,1.0,1.0
redis:7-alpine,A,68,1.0,1.0,1.0,1.0
redis:7-alpine,B,68,0.2593,0.245,1.0,1.0
redis:7-alpine,C,68,0.9996,0.9969,1.0,1.0
redis:7-alpine,D,68,1.0,1.0,1.0,1.0
redis:7-alpine,E,68,0.9996,0.9969,1.0,1.0
redis:7-alpine,F,68,0.9996,0.9969,1.0,1.0
redis:7-alpine,G,68,1.0,1.0,1.0,1.0
redis:7-alpine,H,68,1.0,1.0,1.0,1.0
