image,scenario,perturbed_weight,delta_pct,w_exp,w_run,w_priv,w_mnt,top10_jaccard_vs_default
rabbitmq:3.13-management-alpine,A,exp,-20,0.348,0.272,0.217,0.163,1.0
rabbitmq:3.13-management-alpine,B,exp,-20,0.348,0.272,0.217,0.163,1.0
rabbitmq:3.13-management-alpine,C,exp,-20,0.348,0.272,0.217,0.163,1.0
rabbitmq:3.13-management-alpine,D,exp,-20,0.348,0.272,0.217,0.163,1.0
rabbitmq:3.13-management-alpine,E,exp,-20,0.348,0.272,0.217,0.163,1.0
rabbitmq:3.13-management-alpine,F,exp,-20,0.348,0.272,0.217,0.163,1.0
rabbitmq:3.13-management-alpine,G,exp,-20,0.348,0.272,0.217,0.163,1.0
rabbitmq:3.13-management-alpine,H,exp,-20,0.348,0.272,0.217,0.163,1.0
rabbitmq:3.13-management-alpine,A,exp,20,0.444,0.231,0.185,0.139,1.0
rabbitmq:3.13-management-alpine,B,exp,20,0.444,0.231,0.185,0.139,1.0
rabbitmq:3.13-management-alpine,C,exp,20,0.444,0.231,0.185,0.139,1.0
rabbitmq:3.13-management-alpine,D,exp,20,0.444,0.231,0.185,0.139,1.0
rabbitmq:3.13-management-alpine,E,exp,20,0.444,0.231,0.185,0.139,1.0
rabbitmq:3.13-management-alpine,F,exp,20,0.444,0.231,0.185,0.139,1.0
rabbitmq:3.13-management-alpine,G,exp,20,0.444,0.231,0.185,0.139,1.0
rabbitmq:3.13-management-alpine,H,exp,20,0.444,0.231,0.185,0.139,1.0
rabbitmq:3.13-management-alpine,A,run,-20,0.421,0.211,0.211,0.158,1.0
rabbitmq:3.13-management-alpine,B,run,-20,0.421,0.211,0.211,0.158,0.5385
rabbitmq:3.13-management-alpine,C,run,-20,0.421,0.211,0.211,0.158,1.0
rabbitmq:3.13-management-alpine,D,run,-20,0.421,0.211,0.211,0.158,1.0
rabbitmq:3.13-management-alpine,E,run,-20,0.421,0.211,0.211,0.158,1.0
rabbitmq:3.13-management-alpine,F,run,-20,0.421,0.211,0.211,0.158,1.0
rabbitmq:3.13-management-alpine,G,run,-20,0.421,0.211,0.211,0.158,1.0
rabbitmq:3.13-management-alpine,H,run,-20,0.421,0.211,0.211,0.158,1.0
rabbitmq:3.13-management-alpine,A,run,20,0.381,0.286,0.19,0.143,1.0
rabbitmq:3.13-management-alpine,B,run,20,0.381,0.286,0.19,0.143,1.0
rabbitmq:3.13-management-alpine,C,run,20,0.381,0.286,0.19,0.143,1.0
rabbitmq:3.13-management-alpine,D,run,20,0.381,0.286,0.19,0.143,1.0
rabbitmq:3.13-management-alpine,E,run,20,0.381,0.286,0.19,0.143,1.0
rabbitmq:3.13-management-alpine,F,run,20,0.381,0.286,0.19,0.143,1.0
rabbitmq:3.13-management-alpine,G,run,20,0.381,0.286,0.19,0.143,1.0
rabbitmq:3.13-management-alpine,H,run,20,0.381,0.286,0.19,0.143,1.0
rabbitmq:3.13-management-alpine,A,priv,-20,0.417,0.26,0.167,0.156,1.0
rabbitmq:3.13-management-alpine,B,priv,-20,0.417,0.26,0.167,0.156,1.0
rabbitmq:3.13-management-alpine,C,priv,-20,0.417,0.26,0.167,0.156,1.0
rabbitmq:3.13-management-alpine,D,priv,-20,0.417,0.26,0.167,0.156,1.0
rabbitmq:3.13-management-alpine,E,priv,-20,0.417,0.26,0.167,0.156,1.0
rabbitmq:3.13-management-alpine,F,priv,-20,0.417,0.26,0.167,0.156,1.0
rabbitmq:3.13-management-alpine,G,priv,-20,0.417,0.26,0.167,0.156,1.0
rabbitmq:3.13-management-alpine,H,priv,-20,0.417,0.26,0.167,0.156,1.0
rabbitmq:3.13-management-alpine,A,priv,20,0.385,0.24,0.231,0.144,1.0
rabbitmq:3.13-management-alpine,B,priv,20,0.385,0.24,0.231,0.144,1.0
rabbitmq:3.13-management-alpine,C,priv,20,0.385,0.24,0.231,0.144,1.0
rabbitmq:3.13-management-alpine,D,priv,20,0.385,0.24,0.231,0.144,1.0
rabbitmq:3.13-management-alpine,E,priv,20,0.385,0.24,0.231,0.144,1.0
rabbitmq:3.13-management-alpine,F,priv,20,0.385,0.24,0.231,0.144,1.0
rabbitmq:3.13-management-alpine,G,priv,20,0.385,0.24,0.231,0.144,1.0
rabbitmq:3.13-management-alpine,H,priv,20,0.385,0.24,0.231,0.144,1.0
rabbitmq:3.13-management-alpine,A,mnt,-20,0.412,0.258,0.206,0.124,1.0
rabbitmq:3.13-management-alpine,B,mnt,-20,0.412,0.258,0.206,0.124,1.0
rabbitmq:3.13-management-alpine,C,mnt,-20,0.412,0.258,0.206,0.124,1.0
rabbitmq:3.13-management-alpine,D,mnt,-20,0.412,0.258,0.206,0.124,1.0
rabbitmq:3.13-management-alpine,E,mnt,-20,0.412,0.258,0.206,0.124,1.0
rabbitmq:3.13-management-alpine,F,mnt,-20,0.412,0.258,0.206,0.124,1.0
rabbitmq:3.13-management-alpine,G,mnt,-20,0.412,0.258,0.206,0.124,1.0
rabbitmq:3.13-management-alpine,H,mnt,-20,0.412,0.258,0.206,0.124,1.0
rabbitmq:3.13-management-alpine,A,mnt,20,0.388,0.243,0.194,0.175,1.0
rabbitmq:3.13-management-alpine,B,mnt,20,0.388,0.243,0.194,0.175,1.0
rabbitmq:3.13-management-alpine,C,mnt,20,0.388,0.243,0.194,0.175,1.0
rabbitmq:3.13-management-alpine,D,mnt,20,0.388,0.243,0.194,0.175,1.0
rabbitmq:3.13-management-alpine,E,mnt,20,0.388,0.243,0.194,0.175,1.0
rabbitmq:3.13-management-alpine,F,mnt,20,0.388,0.243,0.194,0.175,1.0
rabbitmq:3.13-management-alpine,G,mnt,20,0.388,0.243,0.194,0.175,1.0
rabbitmq:3.13-management-alpine,H,mnt,20,0.388,0.243,0.194,0.175,1.0
