image,scenario,n_cves,n_cves_loaded,spearman_rho_R_vs_B,kendall_tau_R_vs_B,top5_jaccard,top10_jaccard
rabbitmq:3.13-management-alpine,A,20,17,0.6553,0.5887,1.0,0.5385
rabbitmq:3.13-management-alpine,B,20,17,-0.1519,-0.1381,1.0,0.5385
rabbitmq:3.13-management-alpine,C,20,17,0.6553,0.5887,1.0,0.5385
rabbitmq:3.13-management-alpine,D,20,17,0.6553,0.5887,1.0,0.5385
rabbitmq:3.13-management-alpine,E,20,17,0.6553,0.5887,1.0,0.5385
rabbitmq:3.13-management-alpine,F,20,17,0.6553,0.5887,1.0,0.5385
rabbitmq:3.13-management-alpine,G,20,17,0.6553,0.5887,1.0,0.5385
rabbitmq:3.13-management-alpine,H,20,17,0.6553,0.5887,1.0,0.5385
postgres:17,A,91,25,0.6447,0.5422,0.1111,0.5385
postgres:17,B,91,25,0.7416,0.6262,1.0,1.0
postgres:17,C,91,25,0.752,0.6198,0.6667,0.8182
postgres:17,D,91,25,0.7208,0.6011,0.6667,0.8182
postgres:17,E,91,25,0.752,0.6198,0.6667,0.8182
postgres:17,F,91,25,0.7921,0.6858,0.6667,0.8182
postgres:17,G,91,25,0.6861,0.5731,0.6667,0.8182
postgres:17,H,91,25,0.752,0.6198,0.6667,0.8182
redis:7-alpine,A,68,17,0.7256,0.6693,0.6667,1.0
redis:7-alpine,B,68,17,0.6117,0.5997,1.0,1.0
redis:7-alpine,C,68,17,0.7279,0.6819,1.0,1.0
redis:7-alpine,D,68,17,0.7279,0.6819,1.0,1.0
redis:7-alpine,E,68,17,0.7279,0.6819,1.0,1.0
redis:7-alpine,F,68,17,0.7284,0.686,1.0,1.0
redis:7-alpine,G,68,17,0.7279,0.6819,1.0,1.0
redis:7-alpine,H,68,17,0.7279,0.6819,1.0,1.0
