cve,package,base,x_run_none,R_no_runtime,x_run_synth,R_synthetic,x_run_real,R_real_runtime,loaded_at_runtime
CVE-2025-68973,dirmngr,7.0,0.5,6.038,0.5,6.038,0.0,5.163,False
CVE-2026-24882,dirmngr,7.8,0.5,6.728,0.5,6.728,0.0,5.753,False
CVE-2025-68973,gnupg,7.0,0.5,6.038,0.5,6.038,0.0,5.163,False
CVE-2026-24882,gnupg,7.8,0.5,6.728,0.5,6.728,0.0,5.753,False
CVE-2025-68973,gnupg-l10n,7.0,0.5,6.038,0.5,6.038,0.0,5.163,False
CVE-2026-24882,gnupg-l10n,7.8,0.5,6.728,0.5,6.728,0.0,5.753,False
CVE-2025-68973,gpg,7.0,0.5,6.038,0.5,6.038,0.0,5.163,False
CVE-2026-24882,gpg,7.8,0.5,6.728,0.5,6.728,0.0,5.753,False
CVE-2025-68973,gpg-agent,7.0,0.5,6.038,0.5,6.038,0.0,5.163,False
CVE-2026-24882,gpg-agent,7.8,0.5,6.728,0.5,6.728,0.0,5.753,False
CVE-2025-68973,gpgconf,7.0,0.5,6.038,0.5,6.038,0.0,5.163,False
CVE-2026-24882,gpgconf,7.8,0.5,6.728,0.5,6.728,0.0,5.753,False
CVE-2025-68973,gpgsm,7.0,0.5,6.038,0.5,6.038,0.0,5.163,False
CVE-2026-24882,gpgsm,7.8,0.5,6.728,0.5,6.728,0.0,5.753,False
CVE-2026-0861,libc-bin,8.1,0.5,6.986,0.5,6.986,0.0,5.974,False
CVE-2026-0861,libc-l10n,8.1,0.5,6.986,0.5,6.986,0.0,5.974,False
CVE-2026-0861,libc6,8.1,0.5,6.986,0.5,6.986,0.5,6.986,True
CVE-2026-4878,libcap2,7.0,0.5,6.038,0.5,6.038,0.5,6.038,True
CVE-2026-41989,libgcrypt20,7.5,0.5,6.469,0.5,6.469,0.0,5.531,False
CVE-2026-33845,libgnutls30t64,9.1,0.5,7.849,0.5,7.849,0.0,6.711,False
CVE-2026-42010,libgnutls30t64,9.8,0.5,8.453,0.5,8.453,0.0,7.228,False
CVE-2026-33846,libgnutls30t64,7.5,0.5,6.469,0.5,6.469,0.0,5.531,False
CVE-2026-3833,libgnutls30t64,7.4,0.5,6.383,0.5,6.383,0.0,5.458,False
CVE-2026-42009,libgnutls30t64,7.5,0.5,6.469,0.5,6.469,0.0,5.531,False
CVE-2026-42011,libgnutls30t64,7.4,0.5,6.383,0.5,6.383,0.0,5.458,False
CVE-2025-69720,libncursesw6,7.8,0.5,6.728,0.0,5.753,0.0,5.753,False
CVE-2025-15467,libssl3t64,9.8,0.5,8.453,0.0,7.228,0.5,8.453,True
CVE-2026-31789,libssl3t64,9.8,0.5,8.453,0.0,7.228,0.5,8.453,True
CVE-2025-69419,libssl3t64,7.4,0.5,6.383,0.0,5.458,0.5,6.383,True
CVE-2025-69421,libssl3t64,7.5,0.5,6.469,0.0,5.531,0.5,6.469,True
CVE-2026-28387,libssl3t64,8.1,0.5,6.986,0.0,5.974,0.5,6.986,True
CVE-2026-28388,libssl3t64,7.5,0.5,6.469,0.0,5.531,0.5,6.469,True
CVE-2026-28389,libssl3t64,7.5,0.5,6.469,0.0,5.531,0.5,6.469,True
CVE-2026-28390,libssl3t64,7.5,0.5,6.469,0.0,5.531,0.5,6.469,True
CVE-2026-29111,libsystemd0,7.8,0.5,6.728,0.0,5.753,0.5,6.728,True
CVE-2025-69720,libtinfo6,7.8,0.5,6.728,0.0,5.753,0.0,5.753,False
CVE-2026-29111,libudev1,7.8,0.5,6.728,0.0,5.753,0.0,5.753,False
CVE-2026-6732,libxml2,7.5,0.5,6.469,0.0,5.531,0.5,6.469,True
CVE-2026-0861,locales,8.1,0.5,6.986,0.0,5.974,0.0,5.974,False
CVE-2025-69720,ncurses-base,7.8,0.5,6.728,0.0,5.753,0.0,5.753,False
CVE-2025-69720,ncurses-bin,7.8,0.5,6.728,0.0,5.753,0.0,5.753,False
CVE-2025-15467,openssl,9.8,0.5,8.453,0.0,7.228,0.0,7.228,False
CVE-2026-31789,openssl,9.8,0.5,8.453,0.0,7.228,0.0,7.228,False
CVE-2025-69419,openssl,7.4,0.5,6.383,0.0,5.458,0.0,5.458,False
CVE-2025-69421,openssl,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2026-28387,openssl,8.1,0.5,6.986,0.0,5.974,0.0,5.974,False
CVE-2026-28388,openssl,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2026-28389,openssl,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2026-28390,openssl,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2025-15467,openssl-provider-legacy,9.8,0.5,8.453,0.0,7.228,0.0,7.228,False
CVE-2026-31789,openssl-provider-legacy,9.8,0.5,8.453,0.0,7.228,0.0,7.228,False
CVE-2025-69419,openssl-provider-legacy,7.4,0.5,6.383,0.0,5.458,0.0,5.458,False
CVE-2025-69421,openssl-provider-legacy,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2026-28387,openssl-provider-legacy,8.1,0.5,6.986,0.0,5.974,0.0,5.974,False
CVE-2026-28388,openssl-provider-legacy,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2026-28389,openssl-provider-legacy,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2026-28390,openssl-provider-legacy,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2026-2004,postgresql-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-2005,postgresql-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-2006,postgresql-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-6473,postgresql-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-6475,postgresql-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-6476,postgresql-17,7.2,0.5,6.21,0.0,5.31,0.0,5.31,False
CVE-2026-6477,postgresql-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-6479,postgresql-17,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2026-6637,postgresql-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-6638,postgresql-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-2004,postgresql-client-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-2005,postgresql-client-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-2006,postgresql-client-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-6473,postgresql-client-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-6475,postgresql-client-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-6476,postgresql-client-17,7.2,0.5,6.21,0.0,5.31,0.0,5.31,False
CVE-2026-6477,postgresql-client-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-6479,postgresql-client-17,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2026-6637,postgresql-client-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2026-6638,postgresql-client-17,8.8,0.5,7.59,0.0,6.49,0.0,6.49,False
CVE-2025-68121,stdlib,10.0,0.5,8.625,0.0,7.375,0.0,7.375,False
CVE-2025-58183,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2025-61726,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2025-61728,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2025-61729,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
