cve,package,base,x_run_none,R_no_runtime,x_run_synth,R_synthetic,x_run_real,R_real_runtime,loaded_at_runtime
CVE-2025-68121,stdlib,10.0,0.5,8.625,0.0,7.375,0.0,7.375,False
CVE-2025-15467,libcrypto3,9.8,0.5,8.453,0.5,8.453,0.5,8.453,True
CVE-2026-31789,libcrypto3,9.8,0.5,8.453,0.5,8.453,0.5,8.453,True
CVE-2025-15467,libssl3,9.8,0.5,8.453,0.5,8.453,0.5,8.453,True
CVE-2026-31789,libssl3,9.8,0.5,8.453,0.5,8.453,0.5,8.453,True
CVE-2023-24538,stdlib,9.8,0.5,8.453,0.0,7.228,0.0,7.228,False
CVE-2023-24540,stdlib,9.8,0.5,8.453,0.0,7.228,0.0,7.228,False
CVE-2024-24790,stdlib,9.8,0.5,8.453,0.0,7.228,0.0,7.228,False
CVE-2026-28387,libcrypto3,8.1,0.5,6.986,0.5,6.986,0.5,6.986,True
CVE-2026-28387,libssl3,8.1,0.5,6.986,0.5,6.986,0.5,6.986,True
CVE-2026-40200,musl,7.8,0.5,6.728,0.5,6.728,0.5,6.728,True
CVE-2026-40200,musl-utils,7.8,0.5,6.728,0.0,5.753,0.0,5.753,False
CVE-2026-22184,zlib,7.8,0.5,6.728,0.0,5.753,0.0,5.753,False
CVE-2022-30580,stdlib,7.8,0.5,6.728,0.0,5.753,0.0,5.753,False
CVE-2023-29403,stdlib,7.8,0.5,6.728,0.0,5.753,0.0,5.753,False
CVE-2025-69421,libcrypto3,7.5,0.5,6.469,0.5,6.469,0.5,6.469,True
CVE-2026-28388,libcrypto3,7.5,0.5,6.469,0.5,6.469,0.5,6.469,True
CVE-2026-28389,libcrypto3,7.5,0.5,6.469,0.5,6.469,0.5,6.469,True
CVE-2026-28390,libcrypto3,7.5,0.5,6.469,0.5,6.469,0.5,6.469,True
CVE-2025-69421,libssl3,7.5,0.5,6.469,0.5,6.469,0.5,6.469,True
CVE-2026-28388,libssl3,7.5,0.5,6.469,0.5,6.469,0.5,6.469,True
CVE-2026-28389,libssl3,7.5,0.5,6.469,0.5,6.469,0.5,6.469,True
CVE-2026-28390,libssl3,7.5,0.5,6.469,0.5,6.469,0.5,6.469,True
CVE-2022-27664,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-28131,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-2879,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-2880,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-29804,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-30630,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-30631,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-30632,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-30633,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-30634,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-30635,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-32189,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-41715,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-41716,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-41720,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-41722,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-41723,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-41724,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2022-41725,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2023-24534,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2023-24536,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2023-24537,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2023-39325,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
CVE-2023-45283,stdlib,7.5,0.5,6.469,0.0,5.531,0.0,5.531,False
